epoch,loss,phase_acc,pos_acc
1,15.15078331595214,0.9986,0.9929
2,0.006853740429505706,1.0,1.0
3,0.004480566210986581,1.0,1.0
4,0.003116714233328821,1.0,1.0
5,0.0022761945210731938,1.0,1.0
6,0.0017264982170672738,1.0,1.0
7,0.001352021038201201,1.0,1.0
8,0.001081511279608094,1.0,1.0
9,0.0008824796241242439,1.0,1.0
10,0.0007311144390769186,1.0,1.0
11,0.0006131499067123514,1.0,1.0
12,0.0005199788868139876,1.0,1.0
13,0.00044446562446864846,1.0,1.0
14,0.00038368581294889736,1.0,1.0
15,0.00033285620565948193,1.0,1.0
16,0.00028995957268307393,1.0,1.0
17,0.00025446134134199383,1.0,1.0
18,0.00022403880495858175,1.0,1.0
19,0.00019805866440947284,1.0,1.0
20,0.00017548901905684033,1.0,1.0
